idx,face_ID,face_A_same,face_B_same,face_A_diff,face_B_diff,score_same,score_diff
33,57,057_02_01_050_03.png,057_01_02_050_11.png,166_02_01_140_06.png,057_04_01_140_10.png,0.71717066,0.082534626
34,57,057_01_01_130_05.png,057_02_02_050_03.png,090_01_02_041_05.png,057_01_01_051_15.png,0.49298084,0.06716151
35,57,057_04_02_140_05.png,057_03_01_041_04.png,101_01_01_130_16.png,057_04_02_140_05.png,0.7585019,0.1482456
36,70,070_04_02_050_03.png,070_02_02_051_01.png,005_03_01_051_18.png,070_02_02_050_09.png,0.7280982,0.18465045
37,70,070_01_02_130_09.png,070_04_01_041_08.png,057_03_01_041_04.png,070_02_02_130_08.png,0.75821334,-0.02318239
38,70,070_01_01_050_03.png,070_04_01_041_08.png,101_01_01_050_14.png,070_02_01_140_16.png,0.74000245,0.11272189
39,70,070_04_02_050_03.png,070_03_02_140_02.png,005_01_01_050_18.png,070_04_01_050_16.png,0.7519771,0.10439964
40,70,070_01_01_051_16.png,070_02_01_041_16.png,005_04_02_041_03.png,070_02_02_130_08.png,0.8129387,0.09652965
41,76,076_02_01_041_17.png,076_04_02_140_06.png,051_04_01_140_11.png,076_01_01_041_17.png,0.7745298,0.22556657
42,76,076_02_02_140_10.png,076_04_01_051_02.png,010_02_01_041_07.png,076_02_01_041_04.png,0.6868061,0.36416197
43,76,076_01_01_041_17.png,076_02_02_130_02.png,079_02_02_140_16.png,076_04_02_041_17.png,0.62717295,0.012106866
44,76,076_02_02_050_17.png,076_02_01_041_17.png,079_04_01_051_07.png,076_02_02_130_02.png,0.8424304,-0.018777343
45,76,076_03_02_051_12.png,076_01_01_051_15.png,079_02_01_050_07.png,076_02_01_041_17.png,0.72470015,0.03577493
46,79,079_04_02_050_12.png,079_04_01_050_06.png,242_01_02_130_07.png,079_02_02_130_14.png,0.7418199,0.06294218
47,79,079_04_01_050_06.png,079_02_01_050_12.png,076_02_02_050_17.png,079_02_01_050_07.png,0.65709263,0.052277848
48,79,079_02_02_051_01.png,079_04_02_130_17.png,076_01_01_041_17.png,079_04_02_041_08.png,0.49261713,0.014043391
49,79,079_02_01_050_12.png,079_03_02_051_16.png,051_03_01_050_13.png,079_04_02_130_17.png,0.66482466,-0.037267707
50,79,079_01_01_130_01.png,079_04_02_050_12.png,051_04_01_140_10.png,079_02_02_140_16.png,0.67660797,-0.15439369
51,90,090_03_02_050_12.png,090_02_01_130_00.png,070_04_02_050_07.png,090_01_01_050_12.png,0.45443454,0.084413484
52,90,090_01_02_051_09.png,090_01_02_041_05.png,101_01_02_140_09.png,090_01_02_041_07.png,0.72309923,0.08928259
53,90,090_01_02_041_13.png,090_02_01_050_13.png,166_02_02_140_02.png,090_02_01_050_13.png,0.6634725,0.04485711
54,90,090_01_02_041_07.png,090_01_02_041_13.png,166_02_01_050_09.png,090_01_01_050_06.png,0.66139776,0.13068461
55,90,090_03_02_050_12.png,090_01_02_051_09.png,101_01_02_050_19.png,090_01_01_050_12.png,0.61402154,0.054552935
56,92,092_01_02_140_16.png,092_01_02_130_08.png,129_02_02_130_09.png,092_01_02_140_09.png,0.8422675,0.15408611
57,92,092_01_02_041_11.png,092_01_01_140_16.png,148_02_01_130_02.png,092_01_02_140_09.png,0.74710155,0.048643757
58,92,092_01_02_130_08.png,092_01_02_051_18.png,016_03_01_050_16.png,092_01_01_130_19.png,0.8219047,0.24997059
59,92,092_01_02_140_04.png,092_01_01_050_02.png,129_04_01_051_00.png,092_01_01_140_02.png,0.76382244,0.062601686
60,92,092_01_01_041_06.png,092_01_01_050_05.png,016_04_02_130_00.png,092_01_02_140_19.png,0.9062371,0.39918178
61,101,101_01_01_140_01.png,101_01_01_041_01.png,057_02_02_050_03.png,101_01_01_130_01.png,0.74139625,0.23549123
62,101,101_01_02_051_09.png,101_01_01_051_00.png,090_03_01_130_03.png,101_01_02_050_19.png,0.62268007,0.038679905
63,101,101_01_01_140_01.png,101_01_01_130_16.png,070_03_02_140_02.png,101_01_02_140_09.png,0.6965249,0.06656525
64,101,101_01_01_130_01.png,101_01_01_140_08.png,070_04_01_041_08.png,101_01_02_041_10.png,0.65327126,-0.02024232
65,101,101_01_01_051_10.png,101_01_02_041_09.png,057_04_01_140_10.png,101_01_01_041_10.png,0.71272606,0.084131435
66,129,129_01_01_140_01.png,129_04_02_130_01.png,016_03_02_051_17.png,129_02_02_140_14.png,0.65723866,0.21283394
67,129,129_02_02_130_09.png,129_04_02_050_02.png,092_01_02_041_11.png,129_04_02_050_02.png,0.4491952,0.1835688
68,129,129_04_02_041_11.png,129_02_02_130_09.png,016_01_02_130_08.png,129_01_01_140_16.png,0.49284226,0.26101407
69,129,129_01_01_140_01.png,129_02_01_130_07.png,092_01_02_130_08.png,129_02_01_130_02.png,0.658502,0.10622136
70,129,129_04_02_051_07.png,129_01_01_140_01.png,016_01_01_140_10.png,129_04_02_041_11.png,0.6012552,0.23646194
71,147,147_01_01_041_02.png,147_04_02_041_00.png,004_04_02_041_03.png,147_01_01_050_07.png,0.79966056,0.007932065
72,147,147_01_01_050_00.png,147_04_01_050_04.png,155_01_01_041_16.png,147_01_01_050_07.png,0.8121468,0.19422019
73,147,147_01_02_140_13.png,147_01_02_130_00.png,007_01_02_041_06.png,147_04_02_050_05.png,0.8172419,0.19192654
74,147,147_01_01_050_07.png,147_04_01_140_02.png,155_01_02_041_11.png,147_01_01_050_07.png,0.70457643,0.31126013
75,147,147_01_02_130_00.png,147_04_01_050_04.png,155_01_02_041_11.png,147_01_02_140_13.png,0.6822444,0.21070008
76,148,148_04_01_041_08.png,148_04_02_051_14.png,129_04_02_041_11.png,148_01_02_130_11.png,0.82900214,0.24524075
77,148,148_04_01_050_06.png,148_02_01_130_02.png,016_03_02_140_19.png,148_04_02_051_11.png,0.572889,0.11842322
78,148,148_04_01_041_08.png,148_01_01_050_08.png,129_04_01_051_00.png,148_04_02_051_11.png,0.8747863,0.1736653
79,148,148_01_02_140_07.png,148_04_01_050_06.png,092_01_02_051_02.png,148_02_01_050_16.png,0.8303621,0.04909961
80,148,148_01_01_050_08.png,148_01_02_140_07.png,129_04_02_050_02.png,148_01_01_050_08.png,0.8561784,0.11210121
81,155,155_01_01_140_17.png,155_01_02_051_13.png,004_04_01_130_06.png,155_01_01_051_07.png,0.6797769,0.035253756
82,155,155_01_02_051_09.png,155_01_01_140_03.png,147_04_02_050_05.png,155_01_02_130_04.png,0.6523062,0.26136795
83,155,155_01_01_140_03.png,155_01_01_140_17.png,004_04_02_130_18.png,155_01_01_140_17.png,0.7018763,0.02940943
84,155,155_01_02_051_09.png,155_01_02_050_19.png,147_01_01_050_15.png,155_01_01_041_08.png,0.78457165,0.22416636
85,155,155_01_01_051_07.png,155_01_02_041_11.png,007_01_02_051_18.png,155_01_02_041_11.png,0.6215889,0.1789946
86,158,158_01_01_130_09.png,158_03_02_050_12.png,079_03_01_140_11.png,158_01_01_130_09.png,0.6158879,0.1693294
87,158,158_03_01_051_14.png,158_03_02_050_12.png,076_02_01_050_13.png,158_02_01_140_07.png,0.7478621,0.14437772
88,158,158_01_01_130_09.png,158_01_01_130_12.png,010_04_02_041_13.png,158_03_01_130_06.png,0.7230966,-0.00753707
89,158,158_03_01_041_09.png,158_01_01_041_07.png,076_03_02_051_19.png,158_03_01_041_04.png,0.7841593,0.1293393
90,158,158_03_01_051_14.png,158_02_01_140_12.png,051_01_02_051_15.png,158_02_02_130_17.png,0.82520664,0.07994512
91,166,166_01_01_050_12.png,166_02_01_130_00.png,005_01_02_041_10.png,166_02_02_140_02.png,0.6862191,0.23845126
92,166,166_02_02_130_11.png,166_01_02_130_06.png,005_01_02_130_08.png,166_01_01_140_19.png,0.5643922,0.15924072
93,166,166_01_01_050_13.png,166_02_01_041_08.png,101_01_01_051_10.png,166_01_02_130_06.png,0.6826652,-0.043058872
94,166,166_01_02_130_06.png,166_01_01_050_13.png,090_03_01_051_18.png,166_01_01_050_12.png,0.5920116,0.06091231
95,166,166_01_01_050_13.png,166_01_01_140_11.png,057_03_01_041_04.png,166_02_02_130_11.png,0.78454626,0.016792174
96,242,242_01_02_140_09.png,242_01_01_140_17.png,076_01_01_041_17.png,242_01_02_130_05.png,0.8308271,0.06057094
97,242,242_01_02_041_19.png,242_01_01_130_18.png,051_04_02_041_01.png,242_01_01_050_05.png,0.65271616,0.16185842
98,242,242_01_02_140_09.png,242_01_01_051_06.png,051_01_01_130_02.png,242_01_01_050_00.png,0.82068,0.23452298
99,242,242_01_02_130_07.png,242_01_01_051_06.png,010_03_02_130_07.png,242_01_01_050_00.png,0.837903,0.009284372
100,242,242_01_02_130_02.png,242_01_01_041_04.png,076_03_02_051_12.png,242_01_02_130_07.png,0.68748236,0.1594122
